TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,201,04:00,3.52,-5.91,10.88,29.12,210.79,0.99,0.99,0.99,-0.25,147.51
1,201,04:10,3.77,-2.33,9.77,27.92,204.81,0.99,0.99,0.99,-0.28,171.4
1,201,04:20,3.72,-1.42,10.64,28.71,202.18,0.99,0.99,0.99,-0.27,165.29
1,201,04:30,3.24,-0.97,10.93,29.1,202.18,0.99,0.99,0.99,-0.23,110.11
1,201,04:40,2.52,-2.54,11.37,29.41,202.16,0.99,0.99,0.99,-0.27,52.52
1,201,04:50,2.13,-4.73,11.52,29.82,196.1,0.99,0.99,0.99,-0.28,34.53
1,201,05:00,2.66,-6.58,11.42,30.23,189.51,0.99,0.99,0.99,-0.25,76.91
1,201,05:10,3.37,-1.24,10.79,30.04,180.73,0.99,0.99,0.99,-0.27,138.13
1,201,05:20,3.07,1.46,9.17,28.14,185.46,0.99,0.99,0.99,-0.28,136.31
1,201,05:30,3.13,-0.98,10.33,28.85,182.14,0.99,0.99,0.99,-0.26,116.63
1,201,05:40,3.0,2.27,10.87,29.2,177.3,0.99,0.99,0.99,-0.27,100.69
1,201,05:50,2.71,7.38,11.15,29.38,184.09,0.99,0.99,0.99,-0.25,89.12
1,201,06:00,2.49,7.59,11.28,29.44,189.91,0.99,0.99,0.99,-0.29,79.65
1,201,06:10,3.46,6.01,10.51,29.18,202.55,0.99,0.99,0.99,-0.25,147.66
1,201,06:20,3.45,1.87,8.29,27.43,211.09,0.99,0.99,0.99,-0.26,153.23
1,201,06:30,3.35,2.96,9.37,28.22,211.09,0.99,0.99,0.99,-0.26,173.64
1,201,06:40,2.82,3.58,10.1,28.71,211.09,0.99,0.99,0.99,-0.26,106.41
1,201,06:50,3.75,-0.73,10.06,28.86,207.8,0.99,0.99,0.99,-0.25,179.63
1,201,07:00,3.69,2.76,7.97,27.04,211.02,0.99,0.99,0.99,-0.27,192.83
1,201,07:10,3.28,-2.19,9.12,27.82,211.02,0.99,0.99,0.99,-0.26,148.87
1,201,07:20,4.13,-2.11,9.46,28.44,203.0,0.99,0.99,0.99,-0.26,216.83
1,201,07:30,3.96,2.74,7.45,26.92,202.38,0.99,0.99,0.99,-0.26,180.52
1,201,07:40,3.52,2.98,8.45,27.2,210.18,0.99,0.99,0.99,-0.28,143.74
1,201,07:50,3.31,-3.25,9.05,28.02,209.45,0.99,0.99,0.99,-0.24,133.16
1,201,08:00,3.04,3.33,9.46,28.41,202.38,0.99,0.99,0.99,-0.25,111.47
1,201,08:10,3.25,2.55,9.53,28.57,202.38,0.99,0.99,0.99,-0.26,149.82
1,201,08:20,3.62,5.73,7.06,26.87,202.38,0.99,0.99,0.99,-0.27,182.17
1,201,08:30,3.0,-0.65,7.95,27.11,209.92,0.99,0.99,0.99,-0.25,145.73
1,201,08:40,2.74,3.15,8.84,27.97,212.05,0.99,0.99,0.99,-0.28,115.41
1,201,08:50,2.63,-4.7,9.13,28.39,216.26,0.99,0.99,0.99,-0.27,109.3
1,201,09:00,2.76,-4.23,9.03,28.53,210.96,0.99,0.99,0.99,-0.27,102.05
1,201,09:10,2.64,7.37,9.42,28.63,217.06,0.99,0.99,0.99,-0.26,88.68
1,201,09:20,2.36,4.1,9.14,28.52,223.54,0.99,0.99,0.99,-0.25,83.96
1,201,09:30,2.25,-1.31,7.74,27.4,223.54,0.99,0.99,0.99,-0.25,71.26
1,201,09:40,2.66,0.27,9.17,28.59,223.54,0.99,0.99,0.99,-0.27,84.43
1,201,09:50,2.72,4.19,10.08,29.09,223.54,0.99,0.99,0.99,-0.26,82.06
1,201,10:00,2.24,-3.13,10.11,29.48,214.44,0.99,0.99,0.99,-0.25,65.12
1,201,10:10,1.98,5.08,10.37,29.92,210.92,1.35,1.35,1.35,-0.27,28.92
1,201,10:20,2.68,4.5,9.39,29.94,210.92,1.9,1.9,1.9,-0.3,-0.3
1,201,10:30,2.91,3.45,8.86,29.46,210.92,1.9,1.9,1.9,-0.3,-0.3
1,201,10:40,3.01,3.31,8.5,29.1,210.92,1.9,1.9,1.9,-0.3,-0.3
1,201,10:50,3.41,3.05,8.19,28.85,210.92,1.9,1.9,1.9,-0.3,-0.3
1,201,11:00,3.22,-3.29,8.41,28.49,210.92,1.9,1.9,1.9,-0.3,-0.3
1,201,11:10,2.9,-4.45,8.5,28.19,210.89,1.9,1.9,1.9,-0.3,-0.3
1,201,11:20,,,,,,,,,,
1,201,11:30,,,,,,,,,,
1,201,11:40,,,,,,,,,,
1,201,11:50,,,,,,,,,,
1,201,12:00,,,,,,,,,,
1,201,12:10,,,,,,,,,,
1,201,12:20,,,,,,,,,,
1,201,12:30,,,,,,,,,,
1,201,12:40,,,,,,,,,,
1,201,12:50,,,,,,,,,,
1,201,13:00,,,,,,,,,,
1,201,13:10,,,,,,,,,,
1,201,13:20,,,,,,,,,,
1,201,13:30,,,,,,,,,,
1,201,13:40,,,,,,,,,,
1,201,13:50,,,,,,,,,,
1,201,14:00,,,,,,,,,,
1,201,14:10,,,,,,,,,,
1,201,14:20,,,,,,,,,,
1,201,14:30,,,,,,,,,,
1,201,14:40,,,,,,,,,,
1,201,14:50,,,,,,,,,,
1,201,15:00,,,,,,,,,,
1,201,15:10,,,,,,,,,,
1,201,15:20,,,,,,,,,,
1,201,15:30,,,,,,,,,,
1,201,15:40,,,,,,,,,,
1,201,15:50,,,,,,,,,,
1,201,16:00,,,,,,,,,,
1,201,16:10,,,,,,,,,,
1,201,16:20,,,,,,,,,,
1,201,16:30,,,,,,,,,,
1,201,16:40,,,,,,,,,,
1,201,16:50,,,,,,,,,,
1,201,17:00,5.26,-17.59,12.89,24.38,210.84,1.9,1.9,1.9,0.0,0.0
1,201,17:10,4.77,-13.27,13.01,24.28,203.94,1.81,1.82,1.81,-0.03,-0.04
1,201,17:20,4.77,1.1,12.92,24.74,198.87,0.99,0.99,0.99,-0.09,314.11
1,201,17:30,4.54,0.34,13.3,25.96,203.37,0.99,0.99,0.99,-0.27,300.86
1,201,17:40,4.72,-1.93,13.45,26.89,197.58,0.99,0.99,0.99,-0.29,335.4
1,201,17:50,4.9,2.11,13.62,27.52,197.58,0.99,0.99,0.99,-0.29,336.48
1,201,18:00,4.51,4.38,13.76,27.99,197.58,0.99,0.99,0.99,-0.27,273.31
1,201,18:10,4.43,-2.7,13.74,28.45,196.07,0.99,0.99,0.99,-0.28,253.19
1,201,18:20,3.35,0.07,12.46,27.83,188.98,0.99,0.99,0.99,-0.28,133.83
1,201,18:30,3.48,0.01,13.23,28.6,188.98,0.99,0.99,0.99,-0.27,135.4
1,201,18:40,2.9,-2.1,13.64,29.25,188.98,0.99,0.99,0.99,-0.24,95.51
1,201,18:50,3.09,-0.74,13.89,29.77,188.98,0.99,0.99,0.99,-0.27,106.09
1,201,19:00,2.9,-1.73,14.0,30.04,188.98,0.99,0.99,0.99,-0.26,93.27
1,201,19:10,2.82,0.61,14.19,30.33,188.98,0.99,0.99,0.99,-0.26,83.2
1,201,19:20,3.15,3.74,14.4,30.56,188.98,0.99,0.99,0.99,-0.27,105.07
1,201,19:30,2.96,-0.26,14.35,30.67,188.98,0.99,0.99,0.99,-0.26,92.87
1,201,19:40,2.79,0.25,13.75,30.43,188.98,0.99,0.99,0.99,-0.26,88.13
1,201,19:50,1.95,-5.67,12.64,29.41,188.98,0.99,0.99,0.99,-0.22,26.57
1,201,20:00,1.57,-7.46,13.49,30.71,188.98,1.0,1.0,1.0,-0.24,-0.7
1,201,20:10,1.39,-6.94,13.71,31.42,188.98,1.07,1.07,1.07,-0.33,-0.33
1,201,20:20,1.59,-7.44,13.3,31.2,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,20:30,1.72,-11.02,12.81,31.15,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,20:40,1.63,-5.94,12.56,31.01,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,20:50,1.36,11.94,12.22,30.78,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:00,2.11,53.87,11.83,30.4,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:10,2.42,53.2,11.42,30.14,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:20,2.4,52.78,11.32,29.94,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:30,2.17,45.25,11.28,29.64,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:40,1.84,42.15,11.24,29.36,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,21:50,1.66,41.1,11.11,29.16,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:00,1.43,41.79,11.1,29.09,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:10,1.31,49.26,10.9,28.91,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:20,1.06,39.57,10.72,28.88,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:30,1.2,60.6,10.53,28.79,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:40,0.89,62.89,10.41,28.7,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,22:50,0.58,70.19,10.16,28.59,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:00,0.41,83.03,9.96,28.51,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:10,0.15,54.05,9.69,28.35,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:20,0.09,33.78,9.46,28.27,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:30,0.34,113.85,9.28,28.2,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:40,0.27,50.85,9.03,28.04,188.98,1.9,1.9,1.9,-0.3,-0.3
1,201,23:50,0.57,-53.2,8.78,27.9,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:00,1.29,-67.76,8.83,27.75,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:10,1.9,-153.44,9.1,27.43,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:20,2.35,-152.89,9.3,26.93,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:30,2.74,-159.01,9.4,26.5,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:40,2.6,-156.05,9.53,26.08,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,00:50,2.23,-153.23,9.46,25.8,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:00,1.96,-152.44,9.36,25.6,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:10,2.45,-150.42,9.3,25.45,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:20,2.24,-146.75,9.16,25.28,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:30,1.98,-150.35,9.02,25.14,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:40,2.1,-153.68,9.0,25.02,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,01:50,2.38,-163.39,8.89,24.78,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:00,2.66,-165.96,8.8,24.49,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:10,2.33,-165.73,8.76,24.36,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:20,1.97,-169.8,8.7,24.27,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:30,2.02,-167.26,8.7,24.12,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:40,2.5,-171.59,8.72,24.06,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,02:50,2.42,-171.53,8.78,23.94,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,03:00,1.9,-167.77,8.8,23.79,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,03:10,2.12,-161.31,8.74,23.79,188.98,1.9,1.9,1.9,-0.3,-0.3
1,202,03:20,3.3,-153.85,8.8,23.64,183.6,1.9,1.9,1.9,-0.3,-0.3
1,202,03:30,3.91,-41.24,8.74,23.57,54.65,1.64,1.64,1.64,-0.1,41.47
1,202,03:40,3.56,-1.46,8.77,24.02,18.98,0.99,0.99,0.99,-0.26,200.84
1,202,03:50,4.14,2.29,9.03,24.65,17.12,0.99,0.99,0.99,-0.28,246.29
1,202,04:00,4.7,0.45,9.36,25.22,24.43,0.99,0.99,0.99,-0.29,310.93
1,202,04:10,5.31,-1.91,9.66,25.7,23.03,0.99,0.99,0.99,-0.28,403.72
1,202,04:20,5.65,3.31,9.89,26.0,17.9,0.99,0.99,0.99,-0.26,450.37
1,202,04:30,5.73,0.26,10.16,26.35,17.9,0.99,0.99,0.99,-0.27,447.72
1,202,04:40,6.2,3.12,8.95,25.98,17.9,1.0,1.0,1.0,-0.27,485.86
1,202,04:50,6.16,1.52,8.26,25.21,17.9,1.0,1.0,1.0,-0.27,503.38
1,202,05:00,6.41,1.8,9.35,25.89,17.9,1.0,1.0,1.0,-0.29,557.88
1,202,05:10,7.12,2.43,8.4,25.84,17.9,1.0,1.0,1.0,-0.29,659.26
1,202,05:20,7.49,2.73,7.75,25.4,21.64,1.0,1.0,1.0,-0.23,740.1
1,202,05:30,7.77,-2.47,7.32,25.16,25.52,1.0,1.0,1.0,-0.25,868.67
1,202,05:40,7.5,-2.99,6.72,24.96,25.52,1.0,1.0,1.0,-0.3,865.11
1,202,05:50,7.41,0.21,6.42,24.86,25.52,1.0,1.0,1.0,-0.24,800.34
1,202,06:00,7.42,0.81,6.17,24.75,25.52,1.0,1.0,1.0,-0.26,792.58
1,202,06:10,7.59,0.89,6.0,24.62,25.52,1.0,1.0,1.0,-0.22,825.05
1,202,06:20,8.01,-2.35,5.84,24.43,25.52,1.0,1.0,1.0,-0.22,915.68
1,202,06:30,7.94,-5.19,5.79,24.4,25.52,1.0,1.0,1.0,-0.29,870.58
1,202,06:40,8.04,-4.99,5.66,24.32,23.16,1.0,1.0,1.0,-0.25,899.25
1,202,06:50,7.85,-1.19,5.67,24.39,17.97,1.0,1.0,1.0,-0.27,914.73
1,202,07:00,7.92,0.86,5.72,24.49,17.97,1.0,1.0,1.0,-0.25,934.52
1,202,07:10,7.56,0.29,5.66,24.51,17.97,1.0,1.0,1.0,-0.23,892.04
1,202,07:20,7.67,-0.01,5.6,24.53,17.97,1.0,1.0,1.0,-0.31,886.55
1,202,07:30,8.0,-4.0,5.52,24.4,17.97,1.0,1.0,1.0,-0.28,930.1
1,202,07:40,8.21,-3.09,5.6,24.4,17.97,1.0,1.0,1.0,-0.25,948.63
1,202,07:50,8.38,-2.86,5.6,24.4,17.97,1.0,1.0,1.0,-0.27,1040.65
1,202,08:00,8.36,-1.7,5.6,24.46,17.97,1.0,1.0,1.0,-0.28,1080.04
1,202,08:10,8.8,-3.24,5.6,24.61,17.97,1.0,1.0,1.0,-0.21,1243.08
1,202,08:20,8.77,-4.77,5.56,24.65,17.97,1.0,1.0,1.0,-0.21,1217.81
1,202,08:30,9.05,-2.41,5.47,24.6,17.97,1.0,1.0,1.0,-0.23,1302.59
1,202,08:40,9.28,-0.16,5.4,24.67,17.97,1.0,1.0,1.0,-0.23,1327.51
1,202,08:50,9.23,-2.84,5.39,24.65,17.97,1.0,1.0,1.0,-0.22,1327.33
1,202,09:00,9.88,-0.62,5.49,24.67,17.97,1.01,1.01,1.01,-0.27,1500.54
1,202,09:10,10.05,-3.6,5.67,24.85,17.97,1.01,1.01,1.01,-0.28,1518.3
1,202,09:20,10.15,-2.59,5.81,24.9,14.01,1.0,1.0,1.0,-0.26,1504.29
1,202,09:30,9.8,-0.52,6.23,25.12,10.37,1.0,1.0,1.0,-0.24,1475.3
1,202,09:40,8.57,-3.72,6.4,25.39,10.31,1.0,1.0,1.0,-0.28,1184.44
1,202,09:50,8.08,-3.88,6.4,25.45,10.3,1.0,1.0,1.0,-0.23,1042.57
1,202,10:00,7.23,-1.04,6.48,25.5,10.3,1.0,1.0,1.0,-0.28,857.92
1,202,10:10,7.7,2.07,6.67,25.47,10.3,1.0,1.0,1.0,-0.25,946.92
1,202,10:20,8.05,1.29,6.95,25.48,15.91,1.0,1.0,1.0,-0.28,1055.96
1,202,10:30,7.84,1.94,7.14,25.52,20.36,1.0,1.0,1.0,-0.27,1029.48
1,202,10:40,8.32,-2.9,7.2,25.65,25.64,1.0,1.0,1.0,-0.26,1146.51
1,202,10:50,8.31,-2.37,7.35,25.69,25.66,1.0,1.0,1.0,-0.25,1153.3
1,202,11:00,8.6,-2.15,7.55,25.86,24.16,1.0,1.0,1.0,-0.32,1214.02
1,202,11:10,9.5,-3.51,7.89,25.94,25.67,1.01,1.01,1.01,-0.29,1432.02
1,202,11:20,9.68,-1.66,8.16,26.2,25.69,1.01,1.01,1.01,-0.26,1444.79
1,202,11:30,9.0,-0.64,8.37,26.39,25.69,1.0,1.0,1.0,-0.28,1316.46
1,202,11:40,9.13,0.74,8.69,26.63,26.78,1.0,1.0,1.0,-0.28,1316.84
1,202,11:50,9.42,-0.31,9.04,26.83,29.56,1.0,1.0,1.0,-0.24,1327.46
1,202,12:00,9.42,0.91,9.35,27.06,28.23,1.0,1.0,1.0,-0.26,1360.67
1,202,12:10,9.28,-1.31,9.62,27.22,25.8,1.0,1.0,1.0,-0.23,1353.65
1,202,12:20,9.3,0.51,9.88,27.45,24.41,1.0,1.0,1.0,-0.25,1346.52
1,202,12:30,9.3,0.65,10.13,27.69,30.06,1.0,1.0,1.0,-0.27,1345.52
1,202,12:40,8.92,-2.11,10.25,27.84,32.44,1.0,1.0,1.0,-0.29,1271.55
1,202,12:50,9.43,-2.26,10.4,28.0,30.9,1.0,1.0,1.0,-0.21,1362.74
1,202,13:00,8.98,1.18,10.61,28.18,25.96,1.0,1.0,1.0,-0.23,1259.36
1,202,13:10,8.96,-0.76,10.83,28.34,25.94,1.0,1.0,1.0,-0.24,1297.79
1,202,13:20,8.63,0.47,11.05,28.39,26.45,1.0,1.0,1.0,-0.18,1199.92
1,202,13:30,8.53,0.85,11.37,28.66,28.27,1.0,1.0,1.0,-0.25,1128.63
1,202,13:40,7.67,1.15,11.73,28.88,25.88,1.05,1.05,1.05,-0.17,936.83
1,202,13:50,7.81,-6.02,12.63,29.35,25.86,1.9,1.9,1.9,-0.3,-0.3
1,202,14:00,6.96,-3.35,13.42,29.51,25.86,1.9,1.9,1.9,-0.3,-0.3
1,202,14:10,,,,,,,,,,
1,202,14:20,,,,,,,,,,
1,202,14:30,,,,,,,,,,
1,202,14:40,,,,,,,,,,
1,202,14:50,,,,,,,,,,
1,202,15:00,0.0,0.0,6.31,28.29,0.0,85.97,85.44,85.94,0.0,0.0
1,202,15:10,5.37,29.32,14.36,28.29,-15.97,83.04,82.8,82.91,0.0,0.0
1,202,15:20,7.13,13.0,14.6,28.6,36.86,81.89,81.74,81.73,0.0,0.0
1,202,15:30,7.25,-1.46,14.61,29.17,47.02,81.89,81.74,81.73,0.0,0.0
1,202,15:40,7.4,-2.37,14.78,29.09,43.08,81.89,81.74,81.73,0.0,0.0
1,202,15:50,7.32,-2.04,14.83,29.15,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:00,6.98,1.67,14.92,29.25,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:10,6.88,0.98,15.1,29.47,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:20,7.09,-0.05,15.34,29.5,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:30,7.37,-2.6,15.45,29.5,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:40,7.51,-2.47,15.5,29.5,43.08,81.89,81.74,81.73,0.0,0.0
1,202,16:50,6.77,0.87,15.46,29.45,43.08,81.89,81.74,81.73,0.0,0.0
1,202,17:00,7.29,0.87,15.51,29.45,44.73,81.89,81.74,81.73,0.0,0.0
1,202,17:10,7.47,-10.55,15.32,29.41,51.62,81.89,81.74,81.73,0.0,0.0
1,202,17:20,6.49,-5.2,15.1,29.39,49.78,81.89,81.73,81.73,0.0,0.0
1,202,17:30,6.73,-0.64,15.11,29.4,48.02,81.89,81.74,81.73,0.0,0.0
1,202,17:40,6.98,-0.49,15.33,29.3,48.34,81.89,81.74,81.73,0.0,0.0
1,202,17:50,7.46,-2.51,15.32,29.13,48.33,81.89,81.73,81.73,0.0,0.0
1,202,18:00,6.82,-1.71,15.07,28.98,48.35,69.6,69.53,69.52,6.94,69.07
1,202,18:10,7.17,1.69,14.55,29.19,48.4,0.01,0.01,0.01,91.1,786.42
1,202,18:20,7.5,1.93,14.21,29.63,48.4,0.01,0.01,0.01,145.19,862.83
1,202,18:30,8.79,4.31,12.62,29.14,48.4,0.01,0.01,0.01,184.82,1074.09
1,202,18:40,9.11,2.32,11.45,28.43,48.4,0.02,0.02,0.02,197.82,1186.52
1,202,18:50,9.33,0.62,11.05,28.05,48.4,0.04,0.04,0.04,60.61,1218.34
1,202,19:00,9.42,-0.32,10.8,27.79,48.4,0.14,0.14,0.14,179.45,1174.9
1,202,19:10,9.08,-0.49,10.66,27.55,48.4,5.5,5.5,5.5,146.02,776.26
1,202,19:20,8.71,-2.49,10.47,27.45,48.4,7.45,7.45,7.45,104.68,557.55
1,202,19:30,8.8,-4.38,10.81,27.52,48.4,7.46,7.46,7.46,99.92,563.26
1,202,19:40,9.38,-2.86,11.25,28.18,48.4,7.6,7.6,7.6,122.92,649.17
1,202,19:50,8.96,-1.97,10.36,27.4,42.99,5.97,5.97,5.97,132.1,709.85
1,202,20:00,9.31,-2.37,10.04,27.0,36.15,6.58,6.58,6.58,123.01,700.74
1,202,20:10,9.96,0.94,9.81,26.76,32.95,7.46,7.46,7.46,121.99,801.61
1,202,20:20,10.6,-2.9,9.75,26.61,32.93,5.0,5.0,5.0,179.95,1079.98
1,202,20:30,10.73,-0.93,9.7,26.53,25.41,0.78,0.78,0.78,213.4,1442.52
1,202,20:40,11.07,-3.86,9.6,26.6,25.35,1.64,1.64,1.64,209.26,1504.2
1,202,20:50,11.2,-5.6,9.57,26.6,24.11,2.45,2.45,2.45,245.68,1509.6
1,202,21:00,10.8,-0.33,9.39,26.67,17.69,3.32,3.32,3.32,225.83,1517.1
1,202,21:10,10.58,0.44,9.26,26.77,17.68,4.96,4.96,4.96,194.84,1274.7
1,202,21:20,11.15,2.7,9.3,26.9,17.66,8.96,8.96,8.96,136.82,1020.09
1,202,21:30,11.37,4.64,9.2,26.9,17.66,10.18,10.18,10.18,144.96,955.8
1,202,21:40,11.56,4.78,9.1,26.9,17.63,10.78,10.78,10.78,128.89,935.26
1,202,21:50,11.3,3.37,9.07,26.8,17.62,11.1,11.1,11.1,102.8,817.18
1,202,22:00,11.04,1.03,8.94,26.67,17.62,9.35,9.35,9.35,118.41,959.88
1,202,22:10,11.13,1.52,8.76,26.5,17.62,9.42,9.42,9.42,132.55,961.99
1,202,22:20,11.09,-0.11,8.61,26.35,17.62,8.81,8.81,8.81,128.77,980.86
1,202,22:30,11.18,-0.64,8.48,26.11,17.62,7.45,7.45,7.45,142.75,1187.56
1,202,22:40,11.88,-1.15,8.47,26.1,17.62,8.24,8.24,8.24,139.82,1270.74
1,202,22:50,11.73,-2.44,8.47,26.09,17.62,8.19,8.19,8.19,114.02,1181.75
1,202,23:00,11.61,2.31,8.4,26.14,17.62,8.79,8.79,8.79,117.76,1200.19
1,202,23:10,12.09,1.92,8.4,26.29,17.62,9.34,9.34,9.34,133.59,1242.32
1,202,23:20,12.06,2.05,8.4,26.35,17.62,9.62,9.62,9.62,153.44,1212.49
1,202,23:30,11.89,3.8,8.4,26.5,17.62,9.41,9.41,9.41,125.75,1219.9
1,202,23:40,11.74,4.73,8.3,26.5,18.31,9.59,9.59,9.59,121.25,1210.78
1,202,23:50,12.1,0.07,8.24,26.4,25.23,9.33,9.33,9.33,131.0,1219.18
2,201,00:00,4.56,-3.47,3.08,17.64,234.5,0.49,0.49,0.49,-121.48,257.58
2,201,00:10,5.33,-2.57,3.0,17.03,234.88,0.47,0.47,0.47,-124.85,356.14
2,201,00:20,6.19,-0.22,2.9,15.57,234.88,-0.85,-0.85,-0.85,-179.11,484.91
2,201,00:30,5.88,-0.29,2.84,15.28,234.88,-0.38,-0.38,-0.37,-163.14,458.99
2,201,00:40,5.65,-0.42,2.77,15.42,234.88,0.12,0.12,0.13,-157.96,408.02
2,201,00:50,4.41,1.63,2.67,15.99,234.88,0.49,0.49,0.49,-110.59,259.35
2,201,01:00,3.63,3.18,2.55,17.12,234.88,0.49,0.49,0.49,-106.41,188.93
2,201,01:10,4.41,-2.49,2.43,16.78,241.48,0.49,0.49,0.49,-89.07,201.13
2,201,01:20,3.8,-5.24,2.4,16.69,230.86,0.49,0.49,0.49,-60.57,180.07
2,201,01:30,3.22,4.72,2.35,17.71,224.59,0.49,0.49,0.49,-50.54,154.41
2,201,01:40,3.42,7.75,2.3,17.03,224.59,0.49,0.49,0.49,-50.3,162.05
2,201,01:50,3.03,4.57,2.3,17.33,227.33,0.49,0.49,0.49,-47.8,141.85
2,201,02:00,3.28,-5.58,2.31,17.79,234.88,0.49,0.49,0.49,-42.18,150.45
2,201,02:10,4.79,-5.03,2.43,17.27,234.88,0.45,0.45,0.45,-85.34,308.19
2,201,02:20,6.59,0.93,2.56,16.04,234.88,-0.79,-0.79,-0.79,-206.67,598.08
